impl,M,K,N,density,nnz,time_ms,gflops
baseline,256,256,32,0.01,698,0.17408,0.256618
optimized,256,256,32,0.01,698,0.096256,0.464096
baseline,256,256,64,0.01,698,0.254976,0.350402
optimized,256,256,64,0.01,698,0.098304,0.908854
baseline,256,256,128,0.01,698,0.422176,0.423255
optimized,256,256,128,0.01,698,0.101888,1.75377
baseline,256,256,256,0.01,698,0.745088,0.479643
optimized,256,256,256,0.01,698,0.105792,3.3781
baseline,256,512,32,0.01,1344,0.231424,0.371681
optimized,256,512,32,0.01,1344,0.09728,0.88421
baseline,256,512,64,0.01,1344,0.373792,0.460235
optimized,256,512,64,0.01,1344,0.10208,1.68527
baseline,256,512,128,0.01,1344,0.648032,0.530937
optimized,256,512,128,0.01,1344,0.104448,3.29412
baseline,256,512,256,0.01,1344,1.18038,0.58297
optimized,256,512,256,0.01,1344,0.090816,7.57717
baseline,256,1024,32,0.01,2606,0.345984,0.482057
optimized,256,1024,32,0.01,2606,0.098112,1.69993
baseline,256,1024,64,0.01,2606,0.593824,0.561729
optimized,256,1024,64,0.01,2606,0.0976,3.4177
baseline,256,1024,128,0.01,2606,1.10189,0.605448
optimized,256,1024,128,0.01,2606,0.08704,7.66471
baseline,256,1024,256,0.01,2606,2.14432,0.622235
optimized,256,1024,256,0.01,2606,0.102368,13.0341
baseline,256,2048,32,0.01,5230,0.58768,0.569562
optimized,256,2048,32,0.01,5230,0.10608,3.15535
baseline,256,2048,64,0.01,5230,1.0777,0.621177
optimized,256,2048,64,0.01,5230,0.089024,7.51977
baseline,256,2048,128,0.01,5230,2.07917,0.64395
optimized,256,2048,128,0.01,5230,0.08928,14.9964
baseline,256,2048,256,0.01,5230,4.12518,0.649125
optimized,256,2048,256,0.01,5230,0.113728,23.5453
baseline,512,256,32,0.01,1388,0.173056,0.513314
optimized,512,256,32,0.01,1388,0.104448,0.85049
baseline,512,256,64,0.01,1388,0.264192,0.672481
optimized,512,256,64,0.01,1388,0.099328,1.78866
baseline,512,256,128,0.01,1388,0.431648,0.823189
optimized,512,256,128,0.01,1388,0.1048,3.39053
baseline,512,256,256,0.01,1388,0.754976,0.941296
optimized,512,256,256,0.01,1388,0.120416,5.90167
baseline,512,512,32,0.01,2612,0.226272,0.738792
optimized,512,512,32,0.01,2612,0.103456,1.61584
baseline,512,512,64,0.01,2612,0.36736,0.910105
optimized,512,512,64,0.01,2612,0.096192,3.47572
baseline,512,512,128,0.01,2612,0.643104,1.03976
optimized,512,512,128,0.01,2612,0.1064,6.28451
baseline,512,512,256,0.01,2612,1.18013,1.13322
optimized,512,512,256,0.01,2612,0.094176,14.2005
baseline,512,1024,32,0.01,5230,0.348416,0.960691
optimized,512,1024,32,0.01,5230,0.099168,3.37528
baseline,512,1024,64,0.01,5230,0.601536,1.11288
optimized,512,1024,64,0.01,5230,0.107104,6.25037
baseline,512,1024,128,0.01,5230,1.12314,1.19209
optimized,512,1024,128,0.01,5230,0.088608,15.1101
baseline,512,1024,256,0.01,5230,2.14288,1.24961
optimized,512,1024,256,0.01,5230,0.090784,29.4959
baseline,512,2048,32,0.01,10586,0.59968,1.12978
optimized,512,2048,32,0.01,10586,0.108288,6.2565
baseline,512,2048,64,0.01,10586,1.09914,1.23279
optimized,512,2048,64,0.01,10586,0.09008,15.0423
baseline,512,2048,128,0.01,10586,2.12986,1.27239
optimized,512,2048,128,0.01,10586,0.089984,30.1166
baseline,512,2048,256,0.01,10586,4.21437,1.28608
optimized,512,2048,256,0.01,10586,0.122848,44.1198
baseline,1024,256,32,0.01,2692,0.180256,0.955796
optimized,1024,256,32,0.01,2692,0.09728,1.77105
baseline,1024,256,64,0.01,2692,0.265216,1.29923
optimized,1024,256,64,0.01,2692,0.100352,3.43367
baseline,1024,256,128,0.01,2692,0.433696,1.58902
optimized,1024,256,128,0.01,2692,0.111008,6.20813
baseline,1024,256,256,0.01,2692,0.759552,1.81463
optimized,1024,256,256,0.01,2692,0.109024,12.6422
baseline,1024,512,32,0.01,5239,0.231424,1.44884
optimized,1024,512,32,0.01,5239,0.098304,3.41081
baseline,1024,512,64,0.01,5239,0.369856,1.81312
optimized,1024,512,64,0.01,5239,0.100928,6.64426
baseline,1024,512,128,0.01,5239,0.654112,2.05039
optimized,1024,512,128,0.01,5239,0.110752,12.1098
baseline,1024,512,256,0.01,5239,1.18205,2.26925
optimized,1024,512,256,0.01,5239,0.09376,28.6089
baseline,1024,1024,32,0.01,10586,0.362592,1.8685
optimized,1024,1024,32,0.01,10586,0.100608,6.7341
baseline,1024,1024,64,0.01,10586,0.615008,2.20324
optimized,1024,1024,64,0.01,10586,0.10112,13.4
baseline,1024,1024,128,0.01,10586,1.1448,2.36724
optimized,1024,1024,128,0.01,10586,0.098048,27.6397
baseline,1024,1024,256,0.01,10586,2.19709,2.46692
optimized,1024,1024,256,0.01,10586,0.097696,55.4785
baseline,1024,2048,32,0.01,21112,0.613088,2.20387
optimized,1024,2048,32,0.01,21112,0.10464,12.9125
baseline,1024,2048,64,0.01,21112,1.10077,2.45496
optimized,1024,2048,64,0.01,21112,0.090784,29.7667
baseline,1024,2048,128,0.01,21112,2.13027,2.53708
optimized,1024,2048,128,0.01,21112,0.084416,64.0243
baseline,1024,2048,256,0.01,21112,4.23338,2.55336
optimized,1024,2048,256,0.01,21112,0.120032,90.0539
baseline,2048,256,32,0.01,5394,0.173056,1.99482
